quarter,unemployment_rate
Q1-1948,3.733333333333333
Q2-1948,3.6666666666666665
Q3-1948,3.766666666666667
Q4-1948,3.8333333333333335
Q1-1949,4.666666666666667
Q2-1949,5.866666666666667
Q3-1949,6.7
Q4-1949,6.966666666666666
Q1-1950,6.3999999999999995
Q2-1950,5.566666666666666
Q3-1950,4.633333333333334
Q4-1950,4.233333333333333
Q1-1951,3.5
Q2-1951,3.1
Q3-1951,3.1666666666666665
Q4-1951,3.3666666666666667
Q1-1952,3.0666666666666664
Q2-1952,2.966666666666667
Q3-1952,3.233333333333333
Q4-1952,2.8333333333333335
Q1-1953,2.6999999999999997
Q2-1953,2.566666666666667
Q3-1953,2.733333333333333
Q4-1953,3.6999999999999997
Q1-1954,5.266666666666667
Q2-1954,5.8
Q3-1954,5.966666666666666
Q4-1954,5.333333333333333
Q1-1955,4.733333333333333
Q2-1955,4.3999999999999995
Q3-1955,4.1000000000000005
Q4-1955,4.233333333333333
Q1-1956,4.033333333333333
Q2-1956,4.2
Q3-1956,4.133333333333334
Q4-1956,4.133333333333334
Q1-1957,3.9333333333333336
Q2-1957,4.1000000000000005
Q3-1957,4.233333333333333
Q4-1957,4.933333333333334
Q1-1958,6.3
Q2-1958,7.366666666666667
Q3-1958,7.333333333333333
Q4-1958,6.366666666666667
Q1-1959,5.833333333333333
Q2-1959,5.1000000000000005
Q3-1959,5.266666666666667
Q4-1959,5.6000000000000005
Q1-1960,5.133333333333334
Q2-1960,5.233333333333333
Q3-1960,5.533333333333334
Q4-1960,6.266666666666666
Q1-1961,6.8
Q2-1961,7.0
Q3-1961,6.766666666666667
Q4-1961,6.2
Q1-1962,5.633333333333333
Q2-1962,5.533333333333334
Q3-1962,5.566666666666666
Q4-1962,5.533333333333334
Q1-1963,5.766666666666667
Q2-1963,5.733333333333333
Q3-1963,5.5
Q4-1963,5.566666666666666
Q1-1964,5.466666666666666
Q2-1964,5.2
Q3-1964,5.0
Q4-1964,4.966666666666666
Q1-1965,4.8999999999999995
Q2-1965,4.666666666666667
Q3-1965,4.366666666666667
Q4-1965,4.1000000000000005
Q1-1966,3.8666666666666667
Q2-1966,3.8333333333333335
Q3-1966,3.766666666666667
Q4-1966,3.6999999999999997
Q1-1967,3.8333333333333335
Q2-1967,3.8333333333333335
Q3-1967,3.7999999999999994
Q4-1967,3.9
Q1-1968,3.733333333333333
Q2-1968,3.5666666666666664
Q3-1968,3.533333333333333
Q4-1968,3.4
Q1-1969,3.4
Q2-1969,3.4333333333333336
Q3-1969,3.5666666666666664
Q4-1969,3.5666666666666664
Q1-1970,4.166666666666667
Q2-1970,4.766666666666667
Q3-1970,5.166666666666667
Q4-1970,5.833333333333333
Q1-1971,5.933333333333334
Q2-1971,5.900000000000001
Q3-1971,6.033333333333334
Q4-1971,5.933333333333334
Q1-1972,5.766666666666667
Q2-1972,5.7
Q3-1972,5.566666666666666
Q4-1972,5.366666666666667
Q1-1973,4.933333333333334
Q2-1973,4.933333333333334
Q3-1973,4.8
Q4-1973,4.766666666666667
Q1-1974,5.133333333333333
Q2-1974,5.2
Q3-1974,5.633333333333333
Q4-1974,6.6000000000000005
Q1-1975,8.266666666666666
Q2-1975,8.866666666666667
Q3-1975,8.466666666666667
Q4-1975,8.299999999999999
Q1-1976,7.733333333333333
Q2-1976,7.566666666666666
Q3-1976,7.733333333333333
Q4-1976,7.766666666666667
Q1-1977,7.5
Q2-1977,7.133333333333333
Q3-1977,6.8999999999999995
Q4-1977,6.666666666666667
Q1-1978,6.333333333333333
Q2-1978,6.0
Q3-1978,6.033333333333334
Q4-1978,5.8999999999999995
Q1-1979,5.866666666666667
Q2-1979,5.7
Q3-1979,5.866666666666667
Q4-1979,5.966666666666666
Q1-1980,6.3
Q2-1980,7.333333333333333
Q3-1980,7.666666666666667
Q4-1980,7.3999999999999995
Q1-1981,7.433333333333334
Q2-1981,7.3999999999999995
Q3-1981,7.3999999999999995
Q4-1981,8.233333333333334
Q1-1982,8.833333333333334
Q2-1982,9.433333333333334
Q3-1982,9.9
Q4-1982,10.666666666666666
Q1-1983,10.366666666666667
Q2-1983,10.133333333333333
Q3-1983,9.366666666666667
Q4-1983,8.533333333333333
Q1-1984,7.866666666666667
Q2-1984,7.433333333333334
Q3-1984,7.433333333333334
Q4-1984,7.3
Q1-1985,7.233333333333333
Q2-1985,7.3
Q3-1985,7.2
Q4-1985,7.033333333333334
Q1-1986,7.033333333333334
Q2-1986,7.166666666666667
Q3-1986,6.966666666666666
Q4-1986,6.833333333333333
Q1-1987,6.599999999999999
Q2-1987,6.266666666666667
Q3-1987,6.0
Q4-1987,5.833333333333333
Q1-1988,5.7
Q2-1988,5.466666666666666
Q3-1988,5.466666666666666
Q4-1988,5.333333333333333
Q1-1989,5.2
Q2-1989,5.233333333333333
Q3-1989,5.233333333333333
Q4-1989,5.366666666666667
Q1-1990,5.3
Q2-1990,5.333333333333333
Q3-1990,5.7
Q4-1990,6.133333333333333
Q1-1991,6.6000000000000005
Q2-1991,6.833333333333333
Q3-1991,6.866666666666667
Q4-1991,7.1000000000000005
Q1-1992,7.366666666666667
Q2-1992,7.6000000000000005
Q3-1992,7.633333333333333
Q4-1992,7.366666666666667
Q1-1993,7.133333333333333
Q2-1993,7.066666666666666
Q3-1993,6.8
Q4-1993,6.633333333333333
Q1-1994,6.566666666666666
Q2-1994,6.2
Q3-1994,6.0
Q4-1994,5.633333333333333
Q1-1995,5.466666666666666
Q2-1995,5.666666666666667
Q3-1995,5.666666666666667
Q4-1995,5.566666666666666
Q1-1996,5.533333333333334
Q2-1996,5.5
Q3-1996,5.266666666666667
Q4-1996,5.333333333333333
Q1-1997,5.233333333333333
Q2-1997,5.0
Q3-1997,4.866666666666667
Q4-1997,4.666666666666667
Q1-1998,4.633333333333333
Q2-1998,4.3999999999999995
Q3-1998,4.533333333333333
Q4-1998,4.433333333333334
Q1-1999,4.3
Q2-1999,4.266666666666667
Q3-1999,4.233333333333333
Q4-1999,4.066666666666666
Q1-2000,4.033333333333333
Q2-2000,3.9333333333333336
Q3-2000,4.0
Q4-2000,3.9
Q1-2001,4.233333333333333
Q2-2001,4.3999999999999995
Q3-2001,4.833333333333333
Q4-2001,5.5
Q1-2002,5.7
Q2-2002,5.833333333333333
Q3-2002,5.733333333333333
Q4-2002,5.866666666666667
Q1-2003,5.866666666666667
Q2-2003,6.133333333333333
Q3-2003,6.133333333333333
Q4-2003,5.833333333333333
Q1-2004,5.7
Q2-2004,5.599999999999999
Q3-2004,5.433333333333334
Q4-2004,5.433333333333334
Q1-2005,5.3
Q2-2005,5.1000000000000005
Q3-2005,4.966666666666667
Q4-2005,4.966666666666667
Q1-2006,4.733333333333333
Q2-2006,4.633333333333333
Q3-2006,4.633333333333334
Q4-2006,4.433333333333334
Q1-2007,4.5
Q2-2007,4.5
Q3-2007,4.666666666666667
Q4-2007,4.8
Q1-2008,5.0
Q2-2008,5.333333333333333
Q3-2008,6.0
Q4-2008,6.866666666666667
Q1-2009,8.266666666666667
Q2-2009,9.299999999999999
Q3-2009,9.633333333333333
Q4-2009,9.933333333333334
Q1-2010,9.833333333333334
Q2-2010,9.633333333333333
Q3-2010,9.466666666666667
Q4-2010,9.5
Q1-2011,9.033333333333333
Q2-2011,9.066666666666666
Q3-2011,9.0
Q4-2011,8.633333333333333
Q1-2012,8.266666666666667
Q2-2012,8.2
Q3-2012,8.033333333333333
Q4-2012,7.8
Q1-2013,7.733333333333333
Q2-2013,7.533333333333334
Q3-2013,7.233333333333333
Q4-2013,6.933333333333334
Q1-2014,6.666666666666667
Q2-2014,6.2
Q3-2014,6.066666666666666
Q4-2014,5.7
Q1-2015,5.533333333333334
Q2-2015,5.433333333333334
Q3-2015,5.1000000000000005
Q4-2015,5.033333333333333
Q1-2016,4.8999999999999995
Q2-2016,4.933333333333334
Q3-2016,4.8999999999999995
Q4-2016,4.766666666666667
Q1-2017,4.566666666666666
Q2-2017,4.366666666666667
Q3-2017,4.333333333333333
Q4-2017,4.166666666666667
Q1-2018,4.033333333333333
Q2-2018,3.9333333333333336
Q3-2018,3.766666666666667
Q4-2018,3.8333333333333335
Q1-2019,3.8666666666666667
Q2-2019,3.6333333333333333
Q3-2019,3.6
Q4-2019,3.6
Q1-2020,3.8333333333333335
Q2-2020,13.0
Q3-2020,8.799999999999999
Q4-2020,6.766666666666667
Q1-2021,6.233333333333333
Q2-2021,5.933333333333334
Q3-2021,5.066666666666666
Q4-2021,4.2
Q1-2022,3.8333333333333335
Q2-2022,3.6333333333333333
Q3-2022,3.533333333333333
Q4-2022,3.5666666666666664
Q1-2023,3.533333333333333
Q2-2023,3.533333333333333
Q3-2023,3.6666666666666665
Q4-2023,3.8000000000000003
Q1-2024,3.8333333333333335
Q2-2024,4.0
Q3-2024,4.166666666666667
Q4-2024,4.133333333333333
